Date,EAFE Standard Core
07/21/04,1304.21
07/22/04,1291.88
07/23/04,1276.70
07/26/04,1270.44
07/27/04,1265.99
07/28/04,1268.43
07/29/04,1278.17
07/30/04,1283.96
08/02/04,1284.14
08/03/04,1287.95
08/04/04,1275.03
08/05/04,1275.90
08/06/04,1273.07
08/09/04,1262.56
08/10/04,1271.32
08/11/04,1260.24
08/12/04,1258.55
08/13/04,1259.56
08/16/04,1263.82
08/17/04,1267.28
08/18/04,1267.61
08/19/04,1279.69
08/20/04,1276.16
08/23/04,1280.21
08/24/04,1273.12
08/25/04,1275.64
08/26/04,1284.34
08/27/04,1289.84
08/30/04,1287.27
08/31/04,1286.26
09/01/04,1296.00
09/02/04,1298.45
09/03/04,1290.95
09/06/04,1301.88
09/07/04,1304.54
09/08/04,1307.86
09/09/04,1300.15
09/10/04,1313.57
09/13/04,1319.03
09/14/04,1322.18
09/15/04,1304.50
09/16/04,1307.93
09/17/04,1312.38
09/20/04,1308.87
09/21/04,1320.92
09/22/04,1312.99
09/23/04,1311.82
09/24/04,1307.13
09/27/04,1300.57
09/28/04,1304.70
09/29/04,1309.46
09/30/04,1318.03
10/01/04,1335.33
10/04/04,1339.45
10/05/04,1344.49
10/06/04,1344.91
10/07/04,1342.03
10/08/04,1351.95
10/11/04,1350.30
10/12/04,1331.73
10/13/04,1329.37
10/14/04,1329.97
10/15/04,1335.17
10/18/04,1332.77
10/19/04,1346.38
10/20/04,1340.34
10/21/04,1346.04
10/22/04,1348.65
10/25/04,1341.65
10/26/04,1344.35
10/27/04,1357.58
10/28/04,1367.44
10/29/04,1362.19
11/01/04,1370.66
11/02/04,1380.93
11/03/04,1394.27
11/04/04,1400.22
11/05/04,1412.31
11/08/04,1411.74
11/09/04,1407.22
11/10/04,1406.71
11/11/04,1412.64
11/12/04,1426.72
11/15/04,1432.75
11/16/04,1428.49
11/17/04,1443.84
11/18/04,1439.38
11/19/04,1441.55
11/22/04,1427.28
11/23/04,1432.54
11/24/04,1439.83
11/25/04,1456.33
11/26/04,1454.43
11/29/04,1459.73
11/30/04,1452.59
12/01/04,1461.24
12/02/04,1468.39
12/03/04,1477.52
12/06/04,1474.32
12/07/04,1474.15
12/08/04,1453.05
12/09/04,1439.81
12/10/04,1438.10
12/13/04,1456.16
12/14/04,1458.56
12/15/04,1474.77
12/16/04,1466.82
12/17/04,1459.36
12/20/04,1478.04
12/21/04,1472.48
12/22/04,1482.50
12/23/04,1493.64
12/24/04,1502.19
12/27/04,1508.88
12/28/04,1509.96
12/29/04,1504.78
12/30/04,1515.39
12/31/04,1515.48
01/03/05,1509.20
01/04/05,1494.96
01/05/05,1484.10
01/06/05,1477.75
01/07/05,1474.24
01/10/05,1479.33
01/11/05,1481.09
01/12/05,1486.16
01/13/05,1480.94
01/14/05,1477.46
01/17/05,1483.46
01/18/05,1475.96
01/19/05,1479.07
01/20/05,1462.16
01/21/05,1464.68
01/24/05,1470.96
01/25/05,1466.30
01/26/05,1483.39
01/27/05,1483.77
01/28/05,1476.17
01/31/05,1486.97
02/01/05,1491.07
02/02/05,1498.73
02/03/05,1487.96
02/04/05,1499.47
02/07/05,1496.89
02/08/05,1488.68
02/09/05,1489.58
02/10/05,1500.85
02/11/05,1508.89
02/14/05,1522.38
02/15/05,1527.88
02/16/05,1519.62
02/17/05,1526.93
02/18/05,1529.69
02/21/05,1530.35
02/22/05,1538.06
02/23/05,1522.29
02/24/05,1522.48
02/25/05,1537.87
02/28/05,1548.60
03/01/05,1548.65
03/02/05,1542.21
03/03/05,1544.26
03/04/05,1564.49
03/07/05,1559.29
03/08/05,1568.18
03/09/05,1565.79
03/10/05,1557.02
03/11/05,1565.04
03/14/05,1551.44
03/15/05,1556.56
03/16/05,1554.36
03/17/05,1546.57
03/18/05,1543.16
03/21/05,1531.58
03/22/05,1535.08
03/23/05,1507.64
03/24/05,1505.74
03/25/05,1507.25
03/28/05,1499.83
03/29/05,1496.56
03/30/05,1496.35
03/31/05,1503.85
04/01/05,1506.54
04/04/05,1486.31
04/05/05,1498.14
04/06/05,1503.97
04/07/05,1513.53
04/08/05,1512.05
04/11/05,1518.07
04/12/05,1504.09
04/13/05,1512.50
04/14/05,1496.23
04/15/05,1485.45
04/18/05,1460.44
04/19/05,1476.30
04/20/05,1475.56
04/21/05,1475.07
04/22/05,1486.93
04/25/05,1484.58
04/26/05,1477.35
04/27/05,1463.53
04/28/05,1458.62
04/29/05,1462.87
05/02/05,1460.37
05/03/05,1467.76
05/04/05,1481.02
05/05/05,1485.66
05/06/05,1487.51
05/09/05,1479.41
05/10/05,1475.65
05/11/05,1466.95
05/12/05,1460.71
05/13/05,1451.53
05/16/05,1440.69
05/17/05,1439.66
05/18/05,1451.63
05/19/05,1461.12
05/20/05,1453.77
05/23/05,1465.92
05/24/05,1466.32
05/25/05,1462.47
05/26/05,1462.22
05/27/05,1466.52
05/30/05,1468.92
05/31/05,1457.36
06/01/05,1463.84
06/02/05,1466.31
06/03/05,1465.86
06/06/05,1466.17
06/07/05,1476.21
06/08/05,1480.67
06/09/05,1463.43
06/10/05,1464.03
06/13/05,1457.59
06/14/05,1461.34
06/15/05,1465.34
06/16/05,1470.68
06/17/05,1490.10
06/20/05,1479.19
06/21/05,1486.75
06/22/05,1488.03
06/23/05,1484.91
06/24/05,1476.75
06/27/05,1469.42
06/28/05,1472.46
06/29/05,1474.46
06/30/05,1473.72
07/01/05,1467.29
07/04/05,1466.01
07/05/05,1462.23
07/06/05,1469.45
07/07/05,1450.18
07/08/05,1461.25
07/11/05,1482.99
07/12/05,1493.93
07/13/05,1486.57
07/14/05,1495.58
07/15/05,1488.32
07/18/05,1489.31
07/19/05,1482.80
07/20/05,1482.43
07/21/05,1503.12
07/22/05,1501.53
07/25/05,1499.70
07/26/05,1493.95
07/27/05,1500.84
07/28/05,1510.02
07/29/05,1518.15
08/01/05,1526.36
08/02/05,1537.41
08/03/05,1547.95
08/04/05,1542.04
08/05/05,1528.50
08/08/05,1539.47
08/09/05,1546.51
08/10/05,1570.09
08/11/05,1580.10
08/12/05,1578.87
08/15/05,1572.58
08/16/05,1568.66
08/17/05,1561.42
08/18/05,1542.36
08/19/05,1548.40
08/22/05,1566.88
08/23/05,1556.83
08/24/05,1555.10
08/25/05,1549.56
08/26/05,1549.34
08/29/05,1537.93
08/30/05,1533.11
08/31/05,1552.51
09/01/05,1583.16
09/02/05,1592.30
09/05/05,1599.84
09/06/05,1602.83
09/07/05,1603.09
09/08/05,1595.70
09/09/05,1608.10
09/12/05,1601.87
09/13/05,1591.69
09/14/05,1600.04
09/15/05,1595.47
09/16/05,1599.40
09/19/05,1596.15
09/20/05,1606.92
09/21/05,1602.85
09/22/05,1589.01
09/23/05,1584.26
09/26/05,1602.73
09/27/05,1591.11
09/28/05,1608.56
09/29/05,1615.82
09/30/05,1618.84
10/03/05,1610.08
10/04/05,1618.86
10/05/05,1603.75
10/06/05,1592.87
10/07/05,1585.55
10/10/05,1581.47
10/11/05,1587.00
10/12/05,1581.86
10/13/05,1559.20
10/14/05,1573.40
10/17/05,1565.82
10/18/05,1551.91
10/19/05,1533.92
10/20/05,1539.72
10/21/05,1536.94
10/24/05,1543.85
10/25/05,1559.11
10/26/05,1562.45
10/27/05,1560.06
10/28/05,1552.13
10/31/05,1570.83
11/01/05,1579.49
11/02/05,1590.09
11/03/05,1601.01
11/04/05,1583.55
11/07/05,1587.75
11/08/05,1587.83
11/09/05,1581.58
11/10/05,1580.18
11/11/05,1590.65
11/14/05,1584.00
11/15/05,1575.58
11/16/05,1569.86
11/17/05,1590.13
11/18/05,1599.68
11/21/05,1607.69
11/22/05,1603.31
11/23/05,1617.11
11/24/05,1612.99
11/25/05,1610.48
11/28/05,1614.69
11/29/05,1612.15
11/30/05,1606.14
12/01/05,1619.16
12/02/05,1632.90
12/05/05,1637.56
12/06/05,1643.05
12/07/05,1639.33
12/08/05,1641.85
12/09/05,1648.64
12/12/05,1669.23
