Date,Open,High,Low,Close,Volume,Adj Close
2004-11-16,3297.07,3297.07,3275.95,3276.56,000,3276.56
2004-11-15,3303.17,3303.17,3289.62,3297.08,000,3297.08
2004-11-12,3281.44,3298.18,3268.66,3295.55,000,3295.55
2004-11-11,3248.13,3284.05,3247.86,3281.54,000,3281.54
2004-11-10,3249.48,3262.31,3245.47,3247.89,000,3247.89
2004-11-09,3250.11,3262.70,3244.53,3251.34,000,3251.34
2004-11-08,3241.74,3253.37,3238.86,3251.04,000,3251.04
2004-11-05,3232.04,3247.92,3229.89,3243.22,000,3243.22
2004-11-04,3171.26,3231.67,3170.63,3231.67,000,3231.67
2004-11-03,3132.00,3182.17,3132.00,3172.00,000,3172.00
2004-11-02,3160.17,3163.01,3128.85,3132.31,000,3132.31
2004-11-01,3152.36,3168.50,3146.76,3160.25,000,3160.25
2004-10-29,3141.06,3153.86,3137.41,3152.16,000,3152.16
2004-10-28,3139.41,3145.62,3117.50,3141.04,000,3141.04
2004-10-27,3115.11,3142.86,3099.90,3140.33,000,3140.33
2004-10-26,3070.39,3115.48,3066.67,3115.42,000,3115.42
2004-10-25,3056.15,3074.72,3047.79,3070.38,000,3070.38
2004-10-22,3084.05,3089.97,3054.50,3056.25,000,3056.25
2004-10-21,3075.87,3090.41,3065.20,3084.35,000,3084.35
2004-10-20,3066.43,3076.47,3045.71,3076.23,000,3076.23
2004-10-19,3087.64,3100.71,3064.25,3064.64,000,3064.64
2004-10-18,3075.88,3087.66,3058.34,3087.31,000,3087.31
2004-10-15,3051.77,3087.86,3051.40,3075.94,000,3075.94
2004-10-14,3063.55,3071.93,3048.91,3051.58,000,3051.58
2004-10-13,3098.02,3109.28,3052.14,3063.52,000,3063.52
2004-10-12,3092.50,3100.01,3070.13,3097.71,000,3097.71
2004-10-11,3088.37,3097.57,3087.38,3092.76,000,3092.76
2004-10-08,3099.02,3105.52,3082.64,3088.23,000,3088.23
2004-10-07,3134.58,3134.82,3098.89,3099.23,000,3099.23
2004-10-06,3106.34,3134.59,3105.39,3134.59,000,3134.59
2004-10-05,3107.96,3115.56,3100.64,3107.47,000,3107.47
2004-10-04,3096.93,3119.17,3096.93,3107.93,000,3107.93
2004-10-01,3058.76,3098.31,3058.76,3097.13,000,3097.13
2004-09-30,3064.87,3065.36,3043.58,3058.47,000,3058.47
2004-09-29,3043.55,3064.85,3040.86,3064.85,000,3064.85
2004-09-28,3023.15,3054.68,3021.22,3049.12,000,3049.12
2004-09-27,3037.50,3037.50,3019.25,3023.19,000,3023.19
2004-09-24,3028.98,3045.57,3027.15,3037.59,000,3037.59
2004-09-23,3048.68,3049.34,3028.90,3028.90,000,3028.90
2004-09-22,3093.35,3093.35,3046.33,3048.82,000,3048.82
2004-09-21,3077.04,3098.02,3077.04,3093.49,000,3093.49
2004-09-20,3095.15,3095.33,3074.25,3077.10,000,3077.10
2004-09-17,3080.36,3102.81,3080.35,3095.25,000,3095.25
2004-09-16,3068.46,3085.43,3067.08,3080.26,000,3080.26
2004-09-15,3083.93,3084.09,3064.08,3068.42,000,3068.42
2004-09-14,3082.84,3086.76,3077.27,3084.13,000,3084.13
2004-09-13,3085.11,3091.44,3076.83,3082.81,000,3082.81
2004-09-10,3072.87,3088.45,3058.92,3086.38,000,3086.38
2004-09-09,3073.00,3082.60,3065.89,3072.81,000,3072.81
2004-09-08,3080.45,3085.21,3069.28,3072.79,000,3072.79
2004-09-07,3054.03,3083.46,3054.03,3080.79,000,3080.79
2004-09-03,3063.97,3072.12,3049.84,3054.47,000,3054.47
2004-09-02,3028.02,3067.32,3027.55,3066.34,000,3066.34
2004-09-01,3026.65,3041.80,3010.49,3028.03,000,3028.03
